,기준_분기_코드,상권_코드_명,총_생활인구_수,월_평균_소득_금액,cluster
130,1,목동신시가지,0.2079866639171949,0.9999999999999999,3
131,2,목동신시가지,0.20893201598044608,0.9999999999999999,3
132,3,목동신시가지,0.19635661689467146,0.9999999999999999,3
133,4,목동신시가지,0.16607975018728305,0.9999999999999999,3
134,1,문정역,0.029563794015028545,0.261518094280509,1
135,2,문정역,0.032303223235305094,0.261518094280509,1
136,3,문정역,0.03226138797226822,0.261518094280509,1
137,4,문정역,0.03415380921777581,0.261518094280509,1
138,4,미아사거리역,0.0841906570306111,0.0,2
139,1,발산역(마곡),0.07561598912532924,0.2785795379565883,1
140,2,발산역(마곡),0.08129294065839651,0.2785795379565883,1
141,3,발산역(마곡),0.07797796436790744,0.2785795379565883,1
142,4,발산역(마곡),0.07727581879649004,0.2785795379565883,1
143,1,배화여자대학교(박노수미술관),0.13533301727936856,0.304522770144814,1
144,2,배화여자대학교(박노수미술관),0.14679463053765027,0.304522770144814,1
145,3,배화여자대학교(박노수미술관),0.1388983807411679,0.304522770144814,1
146,4,배화여자대학교(박노수미술관),0.14447995411858017,0.304522770144814,1
147,1,뱅뱅사거리,0.21795656906510208,0.514719809125512,1
148,2,뱅뱅사거리,0.22704965080824013,0.514719809125512,1
149,3,뱅뱅사거리,0.22063355759427883,0.514719809125512,1
150,4,뱅뱅사거리,0.22611538196765918,0.514719809125512,1
151,1,사당역(사당),0.2606941000883692,0.28326809619782234,1
152,2,사당역(사당),0.2903186176754923,0.28326809619782234,1
153,3,사당역(사당),0.28247200822843427,0.28326809619782234,1
154,4,사당역(사당),0.2976260517549034,0.28326809619782234,1
155,1,삼전역 1번,0.31494756777117483,0.17977152501512028,0
156,2,삼전역 1번,0.31128557733989853,0.17977152501512028,0
157,3,삼전역 1번,0.3028637330260835,0.17977152501512028,0
158,4,삼전역 1번,0.29527297431080696,0.17977152501512028,2
159,1,상수역(홍대),0.06604710931601063,0.1416241309612245,2
160,2,상수역(홍대),0.08118507436452158,0.1416241309612245,2
161,3,상수역(홍대),0.07372263126945516,0.1416241309612245,2
162,4,상수역(홍대),0.08509760806883587,0.1416241309612245,2
163,1,상암동상점가,0.057056898611459524,0.14322753378239894,2
164,2,상암동상점가,0.06761249744188294,0.14322753378239894,2
165,3,상암동상점가,0.07015914102838883,0.14322753378239894,2
166,4,상암동상점가,0.07906724222414366,0.14322753378239894,2
167,1,샤로수길,0.5048006744843453,0.2143746662883168,0
168,2,샤로수길,0.4933710620802523,0.2143746662883168,0
169,3,샤로수길,0.4618358593454749,0.2143746662883168,0
170,4,샤로수길,0.47120321182426883,0.2143746662883168,0
171,1,서교동(홍대),0.3304795335805256,0.18940384250739095,0
172,2,서교동(홍대),0.3685864629518306,0.18940384250739095,0
173,3,서교동(홍대),0.35757098843145707,0.18940384250739095,0
174,4,서교동(홍대),0.3496352448978541,0.18940384250739095,0
175,1,서울대입구역,0.3400696432248182,0.19426403334485487,0
176,2,서울대입구역,0.36593491900427705,0.19426403334485487,0
177,3,서울대입구역,0.36636778909532647,0.19426403334485487,0
178,4,서울대입구역,0.3920939782353605,0.19426403334485487,0
179,1,서울역 12번,0.06671506860905088,0.13135447208695983,2
180,2,서울역 12번,0.07297318687452964,0.13135447208695983,2
181,3,서울역 12번,0.06482857922919777,0.13135447208695983,2
182,4,서울역 12번,0.06395815599526639,0.13135447208695983,2
183,1,서원동상점가,0.10150202643457878,0.11153950207506191,2
184,2,서원동상점가,0.10955828050200442,0.11153950207506191,2
185,3,서원동상점가,0.10332513851296557,0.11153950207506191,2
186,4,서원동상점가,0.10826466548414404,0.11153950207506191,2
187,1,서촌(경복궁역),0.09204413495369007,0.34113657802684927,1
188,2,서촌(경복궁역),0.10800616102299082,0.34113657802684927,1
189,3,서촌(경복궁역),0.09323612774678552,0.34113657802684927,1
190,4,서촌(경복궁역),0.10050375588562052,0.34113657802684927,1
191,1,석촌역(석촌호수),0.22886854813997765,0.2422489635268833,1
192,2,석촌역(석촌호수),0.23126330474538326,0.2422489635268833,1
193,3,석촌역(석촌호수),0.2065168100487053,0.2422489635268833,1
194,4,석촌역(석촌호수),0.21909127252411342,0.2422489635268833,1
195,1,선릉역,0.6877745341573215,0.32013472497661544,4
196,2,선릉역,0.7388750591430421,0.32013472497661544,4
197,3,선릉역,0.7369991846806759,0.32013472497661544,4
198,4,선릉역,0.7422363976466728,0.32013472497661544,4
199,1,선유도역 골목형상점가,0.01020296502743722,0.3315219791539121,1
200,2,선유도역 골목형상점가,0.010943511623881005,0.3315219791539121,1
201,3,선유도역 골목형상점가,0.008171769345960297,0.3315219791539121,1
202,4,선유도역 골목형상점가,0.009496292505915084,0.3315219791539121,1
203,1,성수동카페거리,0.07442477684087256,0.092271958063466,2
204,2,성수동카페거리,0.07399799471720533,0.092271958063466,2
205,3,성수동카페거리,0.07738462170073146,0.092271958063466,2
206,4,성수동카페거리,0.08246729395625624,0.092271958063466,2
207,1,성수역,0.13920636945001771,0.05990506522435346,2
208,2,성수역,0.15095083903898157,0.05990506522435346,2
209,3,성수역,0.14895414183933728,0.05990506522435346,2
210,4,성수역,0.15309505237134916,0.05990506522435346,2
211,1,성신여대,0.3524898771932098,0.14185949769565387,0
212,2,성신여대,0.3879296524441862,0.14185949769565387,0
213,3,성신여대,0.3036938820142555,0.14185949769565387,2
214,4,성신여대,0.31314521722257876,0.14185949769565387,0
215,3,송파나루역 1번(송리단길),0.3489694710290023,0.24412290586414898,0
216,4,송파나루역 1번(송리단길),0.330932384692727,0.24412290586414898,0
217,1,수유역,0.42451739980103276,0.04853314955334531,0
218,2,수유역,0.45582781604785083,0.04853314955334531,0
219,3,수유역,0.44849400077645,0.04853314955334531,0
220,4,수유역,0.44785382759094916,0.04853314955334531,0
221,1,신논현역,0.39310723455018276,0.23696035234135682,0
222,2,신논현역,0.4477614153681215,0.23696035234135682,0
223,3,신논현역,0.44574130290931474,0.23696035234135682,0
224,4,신논현역,0.4522468424132765,0.23696035234135682,0
225,1,"신림역 5번(신림동주민센터, 신림동별빛거리)",0.540998167521818,0.0263147942802181,0
226,2,"신림역 5번(신림동주민센터, 신림동별빛거리)",0.5778633076488754,0.0263147942802181,0
227,3,"신림역 5번(신림동주민센터, 신림동별빛거리)",0.5739320417372311,0.0263147942802181,0
228,4,"신림역 5번(신림동주민센터, 신림동별빛거리)",0.5223589968216127,0.0263147942802181,0
229,1,신림역(신림),0.46386627451831297,0.05347823108940686,0
230,2,신림역(신림),0.482338572471554,0.05347823108940686,0
231,3,신림역(신림),0.47200963334982293,0.05347823108940686,0
232,4,신림역(신림),0.45837945488964466,0.05347823108940686,0
233,1,신사역,0.41128746617080436,0.2032447287768625,0
234,2,신사역,0.4598528990978725,0.2032447287768625,0
235,3,신사역,0.44900179969681925,0.2032447287768625,0
236,4,신사역,0.42663335872067765,0.2032447287768625,0
237,1,신용산역(용산역),0.1701138871375142,0.6853561958177182,3
238,2,신용산역(용산역),0.17595896023136773,0.6853561958177182,3
239,3,신용산역(용산역),0.19861041363991921,0.6853561958177182,3
240,4,신용산역(용산역),0.203185755280258,0.6853561958177182,3
241,1,신정2동주민센터,0.07318610963118002,0.6492855826239053,3
242,2,신정2동주민센터,0.08639668664716749,0.6492855826239053,3
243,3,신정2동주민센터,0.13553735444099269,0.6492855826239053,3
244,4,신정2동주민센터,0.13507997637868654,0.6492855826239053,3
245,1,"신촌역(신촌역, 신촌로터리)",0.6891593125841876,0.21168540300470762,4
246,2,"신촌역(신촌역, 신촌로터리)",0.8105786706657848,0.21168540300470762,4
247,3,"신촌역(신촌역, 신촌로터리)",0.8206580031248444,0.21168540300470762,4
248,4,"신촌역(신촌역, 신촌로터리)",0.8387028945475071,0.21168540300470762,4
249,1,안암역 3번,0.11132784968777312,0.18433208606594553,2
250,2,안암역 3번,0.1579402938989669,0.18433208606594553,2
251,3,안암역 3번,0.13509761587392224,0.18433208606594553,2
252,4,안암역 3번,0.17795721844828952,0.18433208606594553,2
253,1,압구정로데오역(압구정로데오),0.2659832949297066,0.5572463467248189,3
254,2,압구정로데오역(압구정로데오),0.3175291781446966,0.5572463467248189,3
255,3,압구정로데오역(압구정로데오),0.31446302800824033,0.5572463467248189,3
256,4,압구정로데오역(압구정로데오),0.30638538800411297,0.5572463467248189,3
257,1,압구정역,0.2597813732862177,0.4142420146546205,1
258,2,압구정역,0.2757377796933194,0.4142420146546205,1
259,3,압구정역,0.2622332631239796,0.4142420146546205,1
260,4,압구정역,0.26318361044251876,0.4142420146546205,1
261,1,양재역,0.315056526777144,0.645707479346569,3
262,2,양재역,0.3342331557259909,0.645707479346569,3
263,3,양재역,0.3190969077964852,0.645707479346569,3
264,4,양재역,0.31152691061099935,0.645707479346569,3
265,1,어린이대공원역,0.18256986840156045,0.2086854027402506,2
266,2,어린이대공원역,0.1938825606115691,0.2086854027402506,2
267,3,어린이대공원역,0.18004445465002852,0.2086854027402506,2
268,4,어린이대공원역,0.18709916003221316,0.2086854027402506,2
269,1,언주역(차병원),0.2224493328914614,0.26106031920489414,1
270,2,언주역(차병원),0.2300636629676281,0.26106031920489414,1
271,3,언주역(차병원),0.22449723145780748,0.26106031920489414,1
272,4,언주역(차병원),0.23252351399350524,0.26106031920489414,1
273,1,여의도역(여의도),0.19356255206968256,0.9808562218667333,3
274,2,여의도역(여의도),0.2247685362606362,0.9808562218667333,3
275,3,여의도역(여의도),0.22110560921899342,0.9808562218667333,3
276,4,여의도역(여의도),0.2259119814164015,0.9808562218667333,3
277,1,역삼역,0.4871916190855592,0.31739019017896597,0
278,2,역삼역,0.5456167493407434,0.31739019017896597,0
279,3,역삼역,0.5317477352371084,0.31739019017896597,0
280,4,역삼역,0.539236247320709,0.31739019017896597,0
281,1,연남동(홍대),0.5796171105601414,0.1846102948351811,0
282,2,연남동(홍대),0.6105517899482663,0.1846102948351811,0
283,3,연남동(홍대),0.6007136346585797,0.1846102948351811,0
284,4,연남동(홍대),0.6041976691202217,0.1846102948351811,0
285,1,연신내상점가(연빛거리),0.2030277803317755,0.044201079354820094,2
286,2,연신내상점가(연빛거리),0.22803793084662238,0.044201079354820094,2
287,3,연신내상점가(연빛거리),0.2190445981075163,0.044201079354820094,2
288,4,연신내상점가(연빛거리),0.2177224164734778,0.044201079354820094,2
289,1,연신내역,0.25360723775026817,0.08724039908677705,2
290,2,연신내역,0.2633977820129911,0.08724039908677705,2
291,3,연신내역,0.2479552624936408,0.08724039908677705,2
292,4,연신내역,0.24759045275589014,0.08724039908677705,2
293,1,연트럴파크(연남동주민센터),0.10721691068748918,0.2194302908524587,2
294,2,연트럴파크(연남동주민센터),0.12730595423503208,0.2194302908524587,2
295,3,연트럴파크(연남동주민센터),0.10717101677953081,0.2194302908524587,2
296,4,연트럴파크(연남동주민센터),0.10280828569238687,0.2194302908524587,2
297,1,연희동,0.02816106388947124,0.394775070061272,1
298,2,연희동,0.02515844715620897,0.394775070061272,1
299,3,연희동,0.023894803670076507,0.394775070061272,1
300,4,연희동,0.02699748161082622,0.394775070061272,1
301,1,영등포구청역,0.2536095792761844,0.10604805236671833,2
302,2,영등포구청역,0.24247047218743323,0.10604805236671833,2
303,3,영등포구청역,0.23618144577986006,0.10604805236671833,2
304,4,영등포구청역,0.2305975308765315,0.10604805236671833,2
305,1,영등포역(영등포),0.4060839711780014,0.1886467021021423,0
306,2,영등포역(영등포),0.45542195155570203,0.1886467021021423,0
307,3,영등포역(영등포),0.44977465935090716,0.1886467021021423,0
308,4,영등포역(영등포),0.46119849599107354,0.1886467021021423,0
309,1,왕십리역(왕십리),0.16278366220585166,0.11471457287681353,2
310,2,왕십리역(왕십리),0.17973802695845617,0.11471457287681353,2
311,3,왕십리역(왕십리),0.1791805876886626,0.11471457287681353,2
312,4,왕십리역(왕십리),0.19317339046240298,0.11471457287681353,2
313,1,용산전자상가(용산역),0.06190042302007203,0.29662555506219634,1
314,2,용산전자상가(용산역),0.06219092833541392,0.29662555506219634,1
315,3,용산전자상가(용산역),0.055994938557579456,0.29662555506219634,1
316,4,용산전자상가(용산역),0.06229973123965534,0.29662555506219634,1
317,1,잠실새내역(신천),0.3253898367472521,0.2291879609650882,0
318,2,잠실새내역(신천),0.34341677647122365,0.2291879609650882,0
319,3,잠실새내역(신천),0.3598207265317833,0.2291879609650882,0
320,4,잠실새내역(신천),0.3863175899017168,0.2291879609650882,0
321,1,장안동사거리,0.22741758258054579,0.08077839217016858,2
322,2,장안동사거리,0.22915811684495307,0.08077839217016858,2
323,3,장안동사거리,0.2274882966632163,0.08077839217016858,2
324,4,장안동사거리,0.23005320415186886,0.08077839217016858,2
325,1,장지역(가든파이브),0.0008201584775960474,0.30790411741044754,1
326,2,장지역(가든파이브),0.0016912061184384403,0.30790411741044754,1
327,3,장지역(가든파이브),2.9971531727915335e-05,0.30790411741044754,1
328,4,장지역(가든파이브),0.0,0.30790411741044754,1
329,1,장한평역(장한평),0.19227986417276466,0.08468574441870103,2
330,2,장한평역(장한평),0.19889951403971134,0.08468574441870103,2
331,3,장한평역(장한평),0.19516727783094776,0.08468574441870103,2
332,4,장한평역(장한평),0.19648462031142608,0.08468574441870103,2
333,1,종각역,0.14692638039587086,0.17772092539853013,2
334,2,종각역,0.18083745142699614,0.17772092539853013,2
335,3,종각역,0.1768888582235717,0.17772092539853013,2
336,4,종각역,0.1821023437269506,0.17772092539853013,2
337,1,종로3가역,0.22401612593288345,0.11481612436672461,2
338,2,종로3가역,0.2695772250076841,0.11481612436672461,2
339,3,종로3가역,0.2619266793306795,0.11481612436672461,2
340,4,종로3가역,0.2753270760476104,0.11481612436672461,2
341,1,천호역,0.11301718258547858,0.2954674978374028,1
342,2,천호역,0.11624349309460591,0.2954674978374028,1
343,3,천호역,0.11201298017086583,0.2954674978374028,1
344,4,천호역,0.11206340102892892,0.2954674978374028,1
345,1,청담사거리(청담동명품거리),0.17176653612919854,0.4366899186080676,1
346,2,청담사거리(청담동명품거리),0.20709142050855134,0.4366899186080676,1
347,3,청담사거리(청담동명품거리),0.20281938452522988,0.4366899186080676,1
348,4,청담사거리(청담동명품거리),0.19931490073725286,0.4366899186080676,1
349,1,"총신대입구역(이수, 총신대)",0.40155577225944294,0.3395910912897647,0
350,2,"총신대입구역(이수, 총신대)",0.45174747298620577,0.3395910912897647,0
351,3,"총신대입구역(이수, 총신대)",0.43635115957826937,0.3395910912897647,0
352,4,"총신대입구역(이수, 총신대)",0.4416600232373032,0.3395910912897647,0
353,1,충무로역,0.1076326095884862,0.1450073294258929,2
354,2,충무로역,0.12699718501754348,0.1450073294258929,2
355,3,충무로역,0.11567575111078088,0.1450073294258929,2
356,4,충무로역,0.12049929449824143,0.1450073294258929,2
357,1,포스코사거리,0.422929220822909,0.573044743745129,3
358,2,포스코사거리,0.452929631370453,0.573044743745129,3
359,3,포스코사거리,0.45931185050949264,0.573044743745129,3
360,4,포스코사거리,0.4519258972610235,0.573044743745129,3
361,1,포이사거리(삼호물산),0.2626612940614688,0.22711567587408987,2
362,2,포이사거리(삼호물산),0.2659434889891305,0.22711567587408987,2
363,3,포이사거리(삼호물산),0.25390320662608123,0.22711567587408987,2
364,4,포이사거리(삼호물산),0.24631010638488848,0.22711567587408987,2
365,1,학동사거리,0.14394749112522653,0.2993071490926612,1
366,2,학동사거리,0.1654213130996355,0.2993071490926612,1
367,3,학동사거리,0.15653366123021586,0.2993071490926612,1
368,4,학동사거리,0.15795044051127063,0.2993071490926612,1
369,1,학동역,0.23094329620349674,0.26924235448187184,1
370,2,학동역,0.25573381158740005,0.26924235448187184,1
371,3,학동역,0.248568430080241,0.26924235448187184,1
372,4,학동역,0.2517867794012531,0.26924235448187184,1
373,1,합정역,0.17631112572917068,0.6289591527643822,3
374,2,합정역,0.19737830270279214,0.6289591527643822,3
375,3,합정역,0.2002235688944829,0.6289591527643822,3
376,4,합정역,0.20821410413452598,0.6289591527643822,3
377,1,해방촌 남동측,0.2269872101171403,0.07570319778765844,2
378,2,해방촌 남동측,0.23689779660850263,0.07570319778765844,2
379,3,해방촌 남동측,0.21816402826128123,0.07570319778765844,2
380,4,해방촌 남동측,0.1936106314018294,0.07570319778765844,2
381,1,홍대 걷고싶은 거리,0.03181462482744906,0.11353906148969162,2
382,2,홍대 걷고싶은 거리,0.03810708547303273,0.11353906148969162,2
383,3,홍대 걷고싶은 거리,0.04572687910967068,0.11353906148969162,2
384,4,홍대 걷고싶은 거리,0.048824873998587905,0.11353906148969162,2
