trdar_nm,year,quarter,sum(is_risky),count(*),average(is_risky)
망리단길,2023,2,5,42,0.11904761904761904
명일역,2022,1,4,44,0.09090909090909091
명일역,2022,2,7,50,0.14
명일역,2022,3,5,54,0.09259259259259259
명일역,2022,4,5,52,0.09615384615384616
명일역,2023,1,4,52,0.07692307692307693
명일역,2023,2,2,17,0.11764705882352941
목동사거리,2022,1,0,17,0.0
목동사거리,2022,2,4,18,0.2222222222222222
목동사거리,2022,3,2,18,0.1111111111111111
목동사거리,2022,4,4,20,0.2
목동사거리,2023,1,4,18,0.2222222222222222
목동사거리,2023,2,2,6,0.3333333333333333
목동신시가지,2022,1,3,24,0.125
목동신시가지,2022,2,3,25,0.12
목동신시가지,2022,3,2,29,0.06896551724137931
목동신시가지,2022,4,5,30,0.16666666666666666
목동신시가지,2023,1,2,30,0.06666666666666667
목동신시가지,2023,2,1,10,0.1
문래예술촌(문래창작촌),2022,1,1,39,0.02564102564102564
문래예술촌(문래창작촌),2022,2,3,41,0.07317073170731707
문래예술촌(문래창작촌),2022,3,1,45,0.022222222222222223
문래예술촌(문래창작촌),2022,4,3,45,0.06666666666666667
문래예술촌(문래창작촌),2023,1,3,45,0.06666666666666667
문래예술촌(문래창작촌),2023,2,0,15,0.0
문정역,2022,1,45,211,0.2132701421800948
문정역,2022,2,43,219,0.1963470319634703
문정역,2022,3,45,222,0.20270270270270271
문정역,2022,4,57,232,0.24568965517241378
문정역,2023,1,45,237,0.189873417721519
문정역,2023,2,20,80,0.25
미아사거리역,2022,4,1,17,0.058823529411764705
미아사거리역,2023,1,1,15,0.06666666666666667
미아사거리역,2023,2,0,5,0.0
발산역(마곡),2022,1,55,336,0.1636904761904762
발산역(마곡),2022,2,69,343,0.20116618075801748
발산역(마곡),2022,3,71,367,0.19346049046321526
발산역(마곡),2022,4,83,371,0.22371967654986524
발산역(마곡),2023,1,74,359,0.20612813370473537
발산역(마곡),2023,2,23,117,0.19658119658119658
배화여자대학교(박노수미술관),2022,1,4,24,0.16666666666666666
배화여자대학교(박노수미술관),2022,2,4,24,0.16666666666666666
배화여자대학교(박노수미술관),2022,3,4,24,0.16666666666666666
배화여자대학교(박노수미술관),2022,4,2,21,0.09523809523809523
배화여자대학교(박노수미술관),2023,1,3,18,0.16666666666666666
배화여자대학교(박노수미술관),2023,2,1,6,0.16666666666666666
뱅뱅사거리,2022,1,5,45,0.1111111111111111
뱅뱅사거리,2022,2,7,50,0.14
뱅뱅사거리,2022,3,16,52,0.3076923076923077
뱅뱅사거리,2022,4,11,55,0.2
뱅뱅사거리,2023,1,8,54,0.14814814814814814
뱅뱅사거리,2023,2,7,18,0.3888888888888889
사당역(사당),2022,1,10,62,0.16129032258064516
사당역(사당),2022,2,7,61,0.11475409836065574
사당역(사당),2022,3,9,66,0.13636363636363635
사당역(사당),2022,4,7,70,0.1
사당역(사당),2023,1,4,69,0.057971014492753624
사당역(사당),2023,2,2,23,0.08695652173913043
삼전역 1번,2022,1,2,5,0.4
삼전역 1번,2022,2,7,18,0.3888888888888889
삼전역 1번,2022,3,8,21,0.38095238095238093
삼전역 1번,2022,4,10,21,0.47619047619047616
삼전역 1번,2023,1,3,18,0.16666666666666666
삼전역 1번,2023,2,1,6,0.16666666666666666
상수역(홍대),2022,1,12,74,0.16216216216216217
상수역(홍대),2022,2,17,67,0.2537313432835821
상수역(홍대),2022,3,21,63,0.3333333333333333
상수역(홍대),2022,4,20,76,0.2631578947368421
상수역(홍대),2023,1,17,72,0.2361111111111111
상수역(홍대),2023,2,8,24,0.3333333333333333
상암동상점가,2022,1,5,36,0.1388888888888889
상암동상점가,2022,2,2,38,0.05263157894736842
상암동상점가,2022,3,9,39,0.23076923076923078
상암동상점가,2022,4,6,45,0.13333333333333333
상암동상점가,2023,1,5,45,0.1111111111111111
상암동상점가,2023,2,1,15,0.06666666666666667
샤로수길,2022,1,4,52,0.07692307692307693
샤로수길,2022,2,4,52,0.07692307692307693
샤로수길,2022,3,6,59,0.1016949152542373
샤로수길,2022,4,7,59,0.11864406779661017
샤로수길,2023,1,4,55,0.07272727272727272
샤로수길,2023,2,2,18,0.1111111111111111
서교동(홍대),2022,1,7,33,0.21212121212121213
서교동(홍대),2022,2,9,39,0.23076923076923078
서교동(홍대),2022,3,10,37,0.2702702702702703
서교동(홍대),2022,4,3,36,0.08333333333333333
서교동(홍대),2023,1,8,39,0.20512820512820512
서교동(홍대),2023,2,3,13,0.23076923076923078
서울대입구역,2022,1,3,61,0.04918032786885246
서울대입구역,2022,2,8,66,0.12121212121212122
서울대입구역,2022,3,10,69,0.14492753623188406
서울대입구역,2022,4,5,69,0.07246376811594203
서울대입구역,2023,1,13,65,0.2
서울대입구역,2023,2,7,21,0.3333333333333333
서울역 12번,2022,1,2,15,0.13333333333333333
서울역 12번,2022,2,4,17,0.23529411764705882
서울역 12번,2022,3,4,15,0.26666666666666666
서울역 12번,2022,4,0,15,0.0
서울역 12번,2023,1,1,15,0.06666666666666667
서울역 12번,2023,2,0,5,0.0
서원동상점가,2022,1,9,48,0.1875
서원동상점가,2022,2,9,51,0.17647058823529413
서원동상점가,2022,3,4,52,0.07692307692307693
